,Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity
5100,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5101,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Email Opened
5102,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Email Opened
5103,API,Google,No,0,3.0,120,1.5,Olark Chat Conversation,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5104,Landing Page Submission,Direct Traffic,No,0,2.0,131,2.0,Email Opened,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Other Leads,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5105,API,Olark Chat,No,0,3.0,54,1.5,Page Visited on Website,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Page Visited on Website
5106,Landing Page Submission,Direct Traffic,No,0,3.0,446,1.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Already a student,Worst,Select,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5107,API,Olark Chat,No,0,0.0,0,0.0,Email Link Clicked,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Email Link Clicked
5108,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5109,Landing Page Submission,Direct Traffic,No,0,2.0,119,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5110,API,Organic Search,No,0,2.0,61,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,Other,Other,Other,Other,No,Email Opened
5111,API,Direct Traffic,No,0,4.0,244,4.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,Other,Other,Other,Other,No,Email Opened
5112,Landing Page Submission,Direct Traffic,Yes,0,4.0,545,2.0,Page Visited on Website,India,Supply Chain Management,Other,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,Yes,Page Visited on Website
5113,Landing Page Submission,Direct Traffic,No,0,2.0,547,2.0,Page Visited on Website,India,E-Business,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Mumbai,Other,Other,Other,Other,Yes,Modified
5114,Landing Page Submission,Google,No,0,4.0,113,4.0,SMS Sent,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,switched off,Not Sure,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5115,Landing Page Submission,Direct Traffic,No,0,1.0,384,1.0,Converted to Lead,India,Finance Management,Select,Unemployed,Better Career Prospects,Not doing further education,Worst,Select,Other Cities,Other,Other,Other,Other,Yes,Modified
5116,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Lost to EINS,Other,Select,Select,Other,Other,Other,Other,No,Modified
5117,Landing Page Submission,Direct Traffic,No,0,2.0,53,2.0,SMS Sent,India,Marketing Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5118,Landing Page Submission,Organic Search,No,0,7.0,279,3.5,Form Submitted on Website,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Ringing,Might be,Select,Thane & Outskirts,02.Medium,01.High,13.0,17.0,No,Modified
5119,Landing Page Submission,Direct Traffic,No,0,2.0,440,2.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Interested  in full time MBA,Low in Relevance,Student of SomeSchool,Other Cities,Other,Other,Other,Other,Yes,Email Opened
5120,Landing Page Submission,Google,No,1,3.0,995,3.0,SMS Sent,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5121,Landing Page Submission,Direct Traffic,No,0,5.0,38,2.5,Email Opened,India,Retail Management,Select,Unemployed,Better Career Prospects,in touch with EINS,Not Sure,Other Leads,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5122,Landing Page Submission,Direct Traffic,No,0,5.0,100,1.25,Email Opened,India,Finance Management,Other,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5123,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5124,Landing Page Submission,Direct Traffic,No,0,2.0,461,2.0,SMS Sent,India,Operations Management,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5125,Landing Page Submission,Direct Traffic,No,0,4.0,119,4.0,Email Opened,India,E-Business,Other,Other,Other,Other,Other,Other,Other Cities of Maharashtra,Other,Other,Other,Other,Yes,Modified
5126,Landing Page Submission,Google,No,0,2.0,1324,2.0,SMS Sent,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5127,Landing Page Submission,Google,No,1,4.0,981,4.0,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Select,Other Cities of Maharashtra,Other,Other,Other,Other,No,Email Opened
5128,Landing Page Submission,Google,No,0,2.0,225,2.0,SMS Sent,India,Business Administration,Online Search,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5129,API,Direct Traffic,No,0,12.0,247,2.4,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Link Clicked
5130,API,Olark Chat,Yes,0,0.0,0,0.0,Email Bounced,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5131,Landing Page Submission,Direct Traffic,No,1,3.0,1321,1.5,Email Opened,United Arab Emirates,Supply Chain Management,Select,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Select,Other Metro Cities,Other,Other,Other,Other,Yes,Modified
5132,API,Organic Search,No,0,6.0,178,1.5,Page Visited on Website,India,Operations Management,Online Search,Unemployed,Better Career Prospects,Ringing,Other,Select,Other Cities,Other,Other,Other,Other,Yes,Page Visited on Website
5133,API,Olark Chat,Yes,0,0.0,0,0.0,Email Bounced,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,Other,Other,Other,Other,No,Modified
5134,Landing Page Submission,Direct Traffic,No,0,7.0,1147,7.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Ringing,Other,Select,Thane & Outskirts,Other,Other,Other,Other,Yes,Email Opened
5135,Landing Page Submission,Google,No,1,4.0,1563,4.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Select,Select,Other,Other,Other,Other,No,SMS Sent
5136,API,Google,No,0,1.0,16,1.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,Not doing further education,Worst,Other Leads,Select,Other,Other,Other,Other,No,Modified
5137,Landing Page Submission,Direct Traffic,No,1,2.0,1152,2.0,SMS Sent,India,Finance Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5138,API,Olark Chat,No,0,0.0,0,0.0,SMS Sent,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,SMS Sent
5139,API,Google,No,0,6.0,457,3.0,Olark Chat Conversation,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Olark Chat Conversation
5140,Landing Page Submission,Google,No,0,5.0,12,1.67,Olark Chat Conversation,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Graduation in progress,Other,Select,Mumbai,Other,Other,Other,Other,Yes,Modified
5141,Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Select,Select,Other,Other,Other,Other,No,Email Opened
5142,API,Google,No,1,2.0,291,2.0,SMS Sent,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,SMS Sent
5143,Landing Page Submission,Google,No,0,4.0,60,2.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,No,Modified
5144,API,Organic Search,No,0,4.0,127,4.0,Email Opened,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Email Opened
5145,Landing Page Submission,Google,Yes,1,3.0,922,3.0,SMS Sent,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Metro Cities,Other,Other,Other,Other,No,SMS Sent
5146,Landing Page Submission,Direct Traffic,No,1,3.0,1089,3.0,SMS Sent,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Metro Cities,Other,Other,Other,Other,Yes,SMS Sent
5147,Landing Page Submission,Organic Search,No,0,16.0,262,8.0,Page Visited on Website,India,Rural and Agribusiness,Online Search,Unemployed,Better Career Prospects,Ringing,Not Sure,Other Leads,Other Cities,Other,Other,Other,Other,No,Page Visited on Website
5148,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Lost to EINS,Other,Select,Select,Other,Other,Other,Other,No,Modified
5149,API,Google,No,0,3.0,273,1.5,Email Opened,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5150,API,Google,No,0,2.0,10,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Select,Other,Other,Other,Other,No,SMS Sent
5151,Landing Page Submission,Direct Traffic,No,0,4.0,15,4.0,Email Opened,India,Business Administration,Multiple Sources,Other,Other,Other,Other,Other,Thane & Outskirts,Other,Other,Other,Other,Yes,Modified
5152,Landing Page Submission,Direct Traffic,No,0,1.0,343,1.0,Converted to Lead,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Already a student,Other,Select,Mumbai,Other,Other,Other,Other,No,Modified
5153,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Select,Select,Unemployed,Better Career Prospects,in touch with EINS,Other,Select,Select,Other,Other,Other,Other,No,Modified
5154,Landing Page Submission,Google,No,1,5.0,273,5.0,SMS Sent,India,Media and Advertising,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5155,API,Google,No,0,3.0,152,3.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,Graduation in progress,Low in Relevance,Other Leads,Select,Other,Other,Other,Other,No,Modified
5156,Landing Page Submission,Direct Traffic,Yes,0,2.0,122,2.0,Email Bounced,India,Business Administration,Select,Unemployed,Better Career Prospects,Not doing further education,Worst,Select,Mumbai,Other,Other,Other,Other,Yes,Modified
5157,API,Google,No,0,2.0,371,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Select,Other,Other,Other,Other,No,Email Opened
5158,Landing Page Submission,Direct Traffic,No,1,2.0,1325,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Other Leads,Other Cities,Other,Other,Other,Other,Yes,Email Opened
5159,Landing Page Submission,Google,No,1,4.0,1494,4.0,SMS Sent,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5160,Landing Page Submission,Direct Traffic,No,0,3.0,952,3.0,SMS Sent,United States,Finance Management,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5161,Landing Page Submission,Direct Traffic,Yes,0,4.0,209,4.0,Email Bounced,India,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,Already a student,Not Sure,Select,Thane & Outskirts,Other,Other,Other,Other,Yes,Modified
5162,API,Organic Search,No,0,7.0,1032,2.33,SMS Sent,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Thane & Outskirts,Other,Other,Other,Other,Yes,SMS Sent
5163,API,Organic Search,No,0,5.0,405,5.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Not doing further education,Might be,Other Leads,Mumbai,Other,Other,Other,Other,No,Email Opened
5164,Landing Page Submission,Direct Traffic,Yes,0,16.0,103,16.0,Page Visited on Website,India,Finance Management,Other,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,Yes,Modified
5165,API,Olark Chat,Yes,0,0.0,0,0.0,Email Bounced,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5166,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Olark Chat Conversation
5167,API,Organic Search,No,1,6.0,1201,3.0,SMS Sent,India,Media and Advertising,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Other Cities of Maharashtra,Other,Other,Other,Other,No,SMS Sent
5168,Landing Page Submission,Direct Traffic,No,0,5.0,49,5.0,SMS Sent,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,SMS Sent
5169,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5170,Landing Page Submission,Google,No,1,5.0,284,2.5,SMS Sent,India,Marketing Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Thane & Outskirts,Other,Other,Other,Other,No,SMS Sent
5171,Landing Page Submission,Google,No,0,5.0,44,2.5,Email Opened,Australia,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Ringing,Other,Select,Thane & Outskirts,Other,Other,Other,Other,No,Email Opened
5172,Landing Page Submission,Google,No,0,5.0,87,5.0,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Thane & Outskirts,Other,Other,Other,Other,No,Email Opened
5173,Landing Page Submission,Google,No,1,5.0,1171,5.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Other Cities,Other,Other,Other,Other,No,SMS Sent
5174,Landing Page Submission,Direct Traffic,Yes,0,1.0,322,1.0,Email Bounced,India,IT Projects Management,Other,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,No,Modified
5175,API,Organic Search,No,1,2.0,1484,1.0,SMS Sent,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Select,Other,Other,Other,Other,No,SMS Sent
5176,API,Google,No,0,3.0,70,1.5,SMS Sent,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,15.0,15.0,No,Modified
5177,API,Google,No,0,16.0,804,2.29,Page Visited on Website,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Page Visited on Website
5178,API,Google,No,0,3.0,214,3.0,Email Link Clicked,India,Marketing Management,Select,Unemployed,Better Career Prospects,Interested  in full time MBA,Low in Relevance,Other Leads,Select,Other,Other,Other,Other,No,Email Link Clicked
5179,Landing Page Submission,Google,No,1,5.0,1397,2.5,Page Visited on Website,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Potential Lead,Other Cities,Other,Other,Other,Other,No,Modified
5180,API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Select,Select,Other,Other,Other,Other,No,SMS Sent
5181,Landing Page Submission,Google,No,0,4.0,1081,4.0,SMS Sent,India,Human Resource Management,Other,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5182,API,Google,No,0,1.0,55,1.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,Interested  in full time MBA,Worst,Other Leads,Select,Other,Other,Other,Other,No,Modified
5183,Lead Add Form,Reference,No,1,Other,992,Other,Other,Other,Marketing Management,Select,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Potential Lead,Mumbai,Other,Other,Other,Other,No,Modified
5184,Landing Page Submission,Google,No,0,3.0,1507,1.5,Email Opened,India,Retail Management,Select,Unemployed,Better Career Prospects,Already a student,Worst,Student of SomeSchool,Thane & Outskirts,Other,Other,Other,Other,Yes,Email Opened
5185,API,Google,No,0,2.0,535,2.0,Email Opened,India,Select,Select,Student,Better Career Prospects,Already a student,Worst,Student of SomeSchool,Select,Other,Other,Other,Other,No,Email Opened
5186,Landing Page Submission,Organic Search,No,1,5.0,1060,2.5,Email Opened,India,IT Projects Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Other Leads,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5187,Landing Page Submission,Direct Traffic,No,0,2.0,1421,2.0,Page Visited on Website,India,E-Business,Student of SomeSchool,Other,Other,Other,Other,Other,Other Metro Cities,Other,Other,Other,Other,No,Page Visited on Website
5188,API,Google,No,0,1.0,419,1.0,Converted to Lead,India,Marketing Management,Select,Unemployed,Better Career Prospects,Not doing further education,Worst,Other Leads,Select,Other,Other,Other,Other,No,Modified
5189,API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Busy,Might be,Select,Select,Other,Other,Other,Other,No,SMS Sent
5190,Landing Page Submission,Direct Traffic,No,1,4.0,63,2.0,SMS Sent,India,Business Administration,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Thane & Outskirts,Other,Other,Other,Other,Yes,SMS Sent
5191,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Modified
5192,API,Google,No,0,2.0,444,2.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Worst,Other Leads,Select,Other,Other,Other,Other,No,Modified
5193,Landing Page Submission,Direct Traffic,No,0,20.0,814,2.5,Page Visited on Website,India,Healthcare Management,Online Search,Other,Other,Other,Other,Other,Other Metro Cities,Other,Other,Other,Other,Yes,Modified
5194,API,Direct Traffic,No,1,8.0,58,4.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Potential Lead,Mumbai,02.Medium,02.Medium,15.0,16.0,No,Modified
5195,Landing Page Submission,Google,No,1,4.0,1298,4.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5196,API,Google,No,1,2.0,13,1.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Select,Select,Other,Other,Other,Other,No,SMS Sent
5197,Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Other,Healthcare Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,Other,Other,Other,Other,No,SMS Sent
5198,Landing Page Submission,Direct Traffic,No,1,3.0,425,1.5,Email Opened,United Arab Emirates,Operations Management,Other,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5199,Landing Page Submission,Google,No,0,4.0,824,4.0,SMS Sent,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,switched off,Might be,Select,Mumbai,Other,Other,Other,Other,No,SMS Sent
5200,Landing Page Submission,Direct Traffic,No,0,9.0,145,4.5,Olark Chat Conversation,India,E-Business,Select,Unemployed,Better Career Prospects,Other,Other,Select,Thane & Outskirts,Other,Other,Other,Other,Yes,Modified
5201,API,Olark Chat,No,0,0.0,0,0.0,SMS Sent,Other,Other,Other,Other,Other,Other,Other,Other,Other,03.Low,02.Medium,11.0,15.0,No,Modified
5202,API,Google,No,0,4.0,219,4.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Select,Other,Other,Other,Other,No,Email Opened
5203,API,Google,No,0,11.0,565,2.75,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Email Opened
5204,Landing Page Submission,Google,No,0,4.0,165,4.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,switched off,Other,Select,Thane & Outskirts,Other,Other,Other,Other,Yes,Email Opened
5205,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,Other,Other,Other,Other,No,Email Opened
5206,API,Organic Search,No,1,11.0,591,3.67,Email Opened,India,Rural and Agribusiness,Select,Working Professional,Better Career Prospects,Closed by Horizzon,High in Relevance,Potential Lead,Other Cities,01.High,02.Medium,16.0,13.0,Yes,Modified
5207,Landing Page Submission,Direct Traffic,No,1,4.0,887,4.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5208,Landing Page Submission,Direct Traffic,No,0,3.0,1686,3.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Thane & Outskirts,Other,Other,Other,Other,Yes,Email Opened
5209,API,Organic Search,No,0,5.0,110,5.0,SMS Sent,India,Hospitality Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5210,Landing Page Submission,Direct Traffic,No,1,3.0,1364,1.5,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Select,Other Cities of Maharashtra,Other,Other,Other,Other,Yes,SMS Sent
5211,API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Select,Other,Other,Other,Other,No,SMS Sent
5212,Landing Page Submission,Direct Traffic,No,1,1.0,790,1.0,Converted to Lead,Oman,Finance Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Other Leads,Mumbai,Other,Other,Other,Other,Yes,Modified
5213,Landing Page Submission,Direct Traffic,No,1,2.0,640,2.0,SMS Sent,United Arab Emirates,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Other Cities,Other,Other,Other,Other,Yes,SMS Sent
5214,Landing Page Submission,Direct Traffic,Yes,0,1.0,1270,1.0,Email Bounced,India,Select,Select,Unemployed,Better Career Prospects,Not doing further education,Not Sure,Other Leads,Select,Other,Other,Other,Other,Yes,Email Bounced
5215,Landing Page Submission,Direct Traffic,No,0,1.0,249,1.0,Converted to Lead,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Mumbai,Other,Other,Other,Other,Yes,Modified
5216,Landing Page Submission,Direct Traffic,No,0,5.0,339,5.0,SMS Sent,India,IT Projects Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Other Cities,Other,Other,Other,Other,Yes,SMS Sent
5217,Landing Page Submission,Direct Traffic,No,1,3.0,574,1.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Other Leads,Mumbai,Other,Other,Other,Other,Yes,Email Opened
5218,Landing Page Submission,Google,No,0,9.0,978,4.5,Page Visited on Website,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Ringing,Other,Select,Mumbai,Other,Other,Other,Other,No,Page Visited on Website
5219,Landing Page Submission,Direct Traffic,No,1,5.0,1098,5.0,SMS Sent,India,Operations Management,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5220,API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,SMS Sent
5221,Landing Page Submission,Organic Search,No,1,10.0,2112,3.33,Email Opened,India,Human Resource Management,Word Of Mouth,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,No,Email Opened
5222,Landing Page Submission,Direct Traffic,No,0,2.0,268,2.0,Email Opened,India,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,Graduation in progress,Worst,Select,Other Cities of Maharashtra,Other,Other,Other,Other,Yes,Email Opened
5223,API,Organic Search,No,1,3.0,1169,3.0,SMS Sent,United States,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,SMS Sent
5224,Landing Page Submission,Direct Traffic,No,0,1.0,226,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,Already a student,Worst,Student of SomeSchool,Mumbai,Other,Other,Other,Other,Yes,Modified
5225,Landing Page Submission,Direct Traffic,No,1,6.0,122,3.0,SMS Sent,India,Business Administration,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Mumbai,Other,Other,Other,Other,Yes,SMS Sent
5226,Landing Page Submission,Direct Traffic,No,0,2.0,45,2.0,Email Opened,India,Finance Management,Other,Other,Other,Other,Other,Other,Mumbai,Other,Other,Other,Other,Yes,Modified
5227,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Email Opened
5228,API,Direct Traffic,No,0,3.0,129,3.0,Email Link Clicked,India,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Email Link Clicked
5229,Landing Page Submission,Direct Traffic,No,1,3.0,1158,1.5,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Other Leads,Tier II Cities,Other,Other,Other,Other,Yes,Email Opened
5230,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,Email Opened
5231,API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,No,SMS Sent
5232,Landing Page Submission,Direct Traffic,No,0,1.0,131,1.0,Converted to Lead,India,Healthcare Management,Select,Unemployed,Better Career Prospects,Not doing further education,Might be,Select,Mumbai,Other,Other,Other,Other,No,Modified
5233,Landing Page Submission,Google,No,1,4.0,1770,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Other Leads,Mumbai,Other,Other,Other,Other,No,Email Opened
5234,Landing Page Submission,Direct Traffic,No,0,2.0,422,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Not doing further education,Worst,Other Leads,Mumbai,Other,Other,Other,Other,Yes,Email Opened
